TRAFFIC_VOL_COLLECTION_POINT;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053
116BRJ2130;20970;21123;21521;22058;22622;23200;23705;24210;24731;25273;25744;26226;26702;27261;27825;28398;28976;29560;30151;30749;31354;31967;32587;33214;33848;34487;35133;35784;36440;37101;37766;38434;39105;39779;40456;41134
116BRJ2150;22020;22181;22600;23169;23771;24387;24922;25454;26000;26568;27070;27586;28096;28684;29276;29876;30483;31097;31719;32349;32987;33633;34287;34947;35614;36288;36968;37654;38345;39041;39741;40444;41151;41861;42573;43287
116BRJ2150;22020;22181;22600;23169;23771;24387;24922;25454;26000;26568;27070;27586;28096;28684;29276;29876;30483;31097;31719;32349;32987;33633;34287;34947;35614;36288;36968;37654;38345;39041;39741;40444;41151;41861;42573;43287
116BRJ2170;22020;22181;22600;23169;23771;24387;24922;25454;26000;26568;27070;27586;28096;28684;29276;29876;30483;31097;31719;32349;32987;33633;34287;34947;35614;36288;36968;37654;38345;39041;39741;40444;41151;41861;42573;43287
116BRJ2190;10796;10873;11073;11392;11742;12101;12374;12634;12904;13189;13408;13635;13853;14144;14432;14725;15021;15319;15622;15929;16240;16554;16873;17195;17520;17849;18181;18516;18854;19194;19536;19881;20227;20574;20923;21273
116BRJ2190;10796;10873;11073;11392;11742;12101;12374;12634;12904;13189;13408;13635;13853;14144;14432;14725;15021;15319;15622;15929;16240;16554;16873;17195;17520;17849;18181;18516;18854;19194;19536;19881;20227;20574;20923;21273
116BRJ2190;10796;10873;11073;11392;11742;12101;12374;12634;12904;13189;13408;13635;13853;14144;14432;14725;15021;15319;15622;15929;16240;16554;16873;17195;17520;17849;18181;18516;18854;19194;19536;19881;20227;20574;20923;21273
116BRJ2210;10206;10280;10472;10776;11104;11444;11705;11958;12221;12496;12706;12923;13127;13402;13674;13955;14238;14525;14817;15112;15411;15713;16019;16329;16642;16959;17278;17600;17925;18253;18582;18914;19247;19581;19917;20254
116BSP2230;10206;10280;10472;10776;11104;11444;11705;11958;12221;12496;12706;12923;13127;13402;13674;13955;14238;14525;14817;15112;15411;15713;16019;16329;16642;16959;17278;17600;17925;18253;18582;18914;19247;19581;19917;20254
116BSP2243;10206;10280;10472;10776;11104;11444;11705;11958;12221;12496;12706;12923;13127;13402;13674;13955;14238;14525;14817;15112;15411;15713;16019;16329;16642;16959;17278;17600;17925;18253;18582;18914;19247;19581;19917;20254
116BSP2250;11502;11586;11804;12127;12485;12860;13167;13447;13735;14032;14282;14535;14780;15092;15401;15717;16036;16359;16688;17021;17358;17699;18044;18393;18746;19102;19462;19825;20191;20560;20931;21305;21680;22057;22435;22814
116BSP2255;11502;11586;11804;12127;12485;12860;13167;13447;13735;14032;14282;14535;14780;15092;15401;15717;16036;16359;16688;17021;17358;17699;18044;18393;18746;19102;19462;19825;20191;20560;20931;21305;21680;22057;22435;22814
116BSP2265;10834;10912;11117;11425;11766;12123;12412;12676;12946;13227;13458;13692;13917;14210;14501;14799;15100;15405;15714;16027;16344;16665;16990;17318;17650;17986;18325;18666;19011;19358;19708;20059;20412;20767;21123;21481
116BSP2265;10834;10912;11117;11425;11766;12123;12412;12676;12946;13227;13458;13692;13917;14210;14501;14799;15100;15405;15714;16027;16344;16665;16990;17318;17650;17986;18325;18666;19011;19358;19708;20059;20412;20767;21123;21481
116BSP2270;11564;11646;11859;12183;12536;12896;13181;13452;13740;14040;14279;14521;14758;15066;15375;15687;16001;16317;16638;16963;17292;17624;17961;18302;18646;18994;19345;19699;20056;20416;20778;21142;21508;21875;22244;22613
116BSP2290;11564;11646;11859;12183;12536;12896;13181;13452;13740;14040;14279;14521;14758;15066;15375;15687;16001;16317;16638;16963;17292;17624;17961;18302;18646;18994;19345;19699;20056;20416;20778;21142;21508;21875;22244;22613
116BSP2310;11914;11999;12219;12550;12912;13282;13576;13856;14152;14461;14709;14961;15207;15524;15843;16164;16488;16815;17145;17481;17820;18163;18511;18862;19217;19576;19938;20304;20672;21043;21416;21792;22169;22548;22928;23309
116BSP2330;23893;24068;24524;25137;25776;26429;27003;27584;28185;28805;29359;29921;30479;31117;31759;32411;33071;33738;34413;35096;35788;36488;37196;37912;38635;39365;40101;40844;41592;42345;43103;43865;44630;45398;46168;46940
116BSP2340;24146;24323;24783;25407;26047;26696;27259;27856;28463;29089;29648;30233;30803;31435;32070;32729;33394;34067;34748;35438;36136;36842;37556;38279;39008;39745;40488;41238;41993;42753;43518;44287;45059;45834;46611;47390
116BSP2345;24139;24315;24774;25443;26115;26798;27346;27945;28549;29172;29757;30376;31003;31660;32321;32984;33654;34331;35016;35710;36413;37123;37842;38569;39304;40045;40793;41548;42308;43073;43843;44617;45394;46175;46958;47742
116BSP2350;24188;24365;24824;25490;26151;26822;27362;27962;28573;29204;29789;30402;31021;31679;32341;33004;33675;34352;35037;35732;36435;37146;37866;38593;39328;40070;40818;41573;42334;43099;43870;44644;45422;46203;46986;47772
116BSP2360_2;19658;19801;20173;20850;21544;22254;22712;23221;23732;24261;24665;25098;25588;26187;26791;27339;27894;28453;29019;29593;30173;30761;31355;31956;32563;33176;33794;34418;35046;35679;36316;36956;37599;38245;38892;39541
116BSP2360_1;16874;16996;17314;18069;18847;19651;20048;20513;20970;21444;21711;22014;22435;23034;23641;24125;24613;25106;25605;26110;26622;27139;27663;28192;28727;29267;29812;30362;30916;31473;32035;32599;33166;33735;34305;34878
116BSP2360_1;16874;16996;17314;18069;18847;19651;20048;20513;20970;21444;21711;22014;22435;23034;23641;24125;24613;25106;25605;26110;26622;27139;27663;28192;28727;29267;29812;30362;30916;31473;32035;32599;33166;33735;34305;34878
116BSP2360_1;16874;16996;17314;18069;18847;19651;20048;20513;20970;21444;21711;22014;22435;23034;23641;24125;24613;25106;25605;26110;26622;27139;27663;28192;28727;29267;29812;30362;30916;31473;32035;32599;33166;33735;34305;34878
116BSP2360_1;16874;16996;17314;18069;18847;19651;20048;20513;20970;21444;21711;22014;22435;23034;23641;24125;24613;25106;25605;26110;26622;27139;27663;28192;28727;29267;29812;30362;30916;31473;32035;32599;33166;33735;34305;34878
116BSP2360_1;16874;16996;17314;18069;18847;19651;20048;20513;20970;21444;21711;22014;22435;23034;23641;24125;24613;25106;25605;26110;26622;27139;27663;28192;28727;29267;29812;30362;30916;31473;32035;32599;33166;33735;34305;34878
116BSP2360_1;16874;16996;17314;18069;18847;19651;20048;20513;20970;21444;21711;22014;22435;23034;23641;24125;24613;25106;25605;26110;26622;27139;27663;28192;28727;29267;29812;30362;30916;31473;32035;32599;33166;33735;34305;34878
116BSP2360_1;16874;16996;17314;18069;18847;19651;20048;20513;20970;21444;21711;22014;22435;23034;23641;24125;24613;25106;25605;26110;26622;27139;27663;28192;28727;29267;29812;30362;30916;31473;32035;32599;33166;33735;34305;34878
116BSP2370;29625;29843;30408;31203;32014;32838;33526;34234;34971;35732;36513;37309;38109;38911;39719;40533;41357;42190;43035;43890;44755;45631;46517;47412;48317;49230;50152;51081;52017;52960;53908;54861;55818;56779;57743;58709
116BSP2370;29625;29843;30408;31203;32014;32838;33526;34234;34971;35732;36513;37309;38109;38911;39719;40533;41357;42190;43035;43890;44755;45631;46517;47412;48317;49230;50152;51081;52017;52960;53908;54861;55818;56779;57743;58709
116BSP2390;35889;36154;36840;37736;38668;39616;40472;41330;42222;43141;44085;45046;46013;46983;47958;48942;49938;50945;51966;52999;54045;55103;56174;57256;58349;59453;60566;61689;62820;63959;65105;66256;67413;68574;69738;70905
116BSP2390;35889;36154;36840;37736;38668;39616;40472;41330;42222;43141;44085;45046;46013;46983;47958;48942;49938;50945;51966;52999;54045;55103;56174;57256;58349;59453;60566;61689;62820;63959;65105;66256;67413;68574;69738;70905
116BSP2410_2;30660;30884;31468;32436;33547;34771;35703;36540;37326;38136;38969;39817;40670;41525;42384;43251;44127;45014;45913;46823;47744;48676;49619;50572;51535;52507;53488;54477;55474;56477;57487;58502;59521;60545;61571;62600
116BSP2410_1;27525;27727;28253;29154;30196;31351;32212;32978;33690;34426;35184;35955;36730;37506;38284;39069;39862;40664;41477;42300;43133;43976;44829;45691;46561;47440;48327;49222;50123;51030;51943;52861;53782;54707;55635;56565
116BSP2430_3;33631;33879;34524;35596;36821;38170;39194;40115;40982;41875;42792;43725;44665;45607;46554;47511;48477;49456;50447;51451;52466;53494;54534;55584;56646;57718;58799;59889;60987;62093;63205;64323;65446;66573;67703;68836
116BSP2430_3;33631;33879;34524;35596;36821;38170;39194;40115;40982;41875;42792;43725;44665;45607;46554;47511;48477;49456;50447;51451;52466;53494;54534;55584;56646;57718;58799;59889;60987;62093;63205;64323;65446;66573;67703;68836
116BSP2430_2m;23599;23786;23968;24145;24316;24480;24639;24791;24937;25076;25208;25333;25452;25564;25668;25765;25856;25939;26016;26085;26147;26202;26250;26291;26326;26354;26375;26389;26397;26399;26394;26383;26365;26365;26365;26365
116BSP2430_3;33631;33879;34524;35596;36821;38170;39194;40115;40982;41875;42792;43725;44665;45607;46554;47511;48477;49456;50447;51451;52466;53494;54534;55584;56646;57718;58799;59889;60987;62093;63205;64323;65446;66573;67703;68836
116BSP2430_1m;43605;43950;44287;44613;44929;45234;45527;45808;46077;46334;46578;46810;47029;47235;47428;47608;47775;47929;48070;48198;48313;48415;48504;48580;48644;48695;48734;48761;48776;48779;48770;48749;48716;48716;48716;48716
116BSP2430_2;43665;43990;44834;46135;47598;49189;50460;51628;52745;53892;55068;56264;57470;58683;59905;61140;62389;63654;64935;66231;67544;68872;70215;71573;72944;74328;75724;77132;78550;79977;81413;82856;84305;85759;87218;88679
116BSP2430_1;27733;27935;28459;29392;30480;31689;32572;33345;34061;34801;35563;36338;37117;37897;38679;39468;40266;41073;41890;42718;43556;44404;45262;46129;47005;47890;48783;49684;50591;51505;52424;53349;54277;55209;56144;57081
116BSP2450_4m;9218;9291;9362;9432;9498;9563;9625;9684;9741;9795;9847;9896;9942;9986;10027;10065;10100;10133;10162;10189;10214;10235;10254;10270;10284;10294;10303;10308;10311;10312;10310;10306;10299;10299;10299;10299
116BSP2450_4;27334;27532;28048;29255;30774;32451;33499;34291;35027;35789;36574;37372;38174;38976;39781;40592;41411;42240;43079;43929;44790;45661;46542;47432;48332;49240;50157;51081;52012;52950;53894;54842;55795;56751;57711;58672
116BSP2450_3;55558;55970;57040;58893;61076;63487;65278;66822;68260;69736;71246;72781;74331;75892;77467;79059;80671;82303;83956;85629;87323;89037;90771;92522;94292;96078;97880;99696;101526;103368;105221;107084;108953;110830;112712;114598
116BSP2450_2;27479;27677;28193;29502;31000;32712;33681;34540;35282;36053;36848;37658;38470;39280;40090;40906;41730;42564;43408;44263;45128;46004;46890;47785;48690;49604;50526;51456;52392;53336;54285;55239;56198;57160;58125;59093
116BSP2450_2;27479;27677;28193;29502;31000;32712;33681;34540;35282;36053;36848;37658;38470;39280;40090;40906;41730;42564;43408;44263;45128;46004;46890;47785;48690;49604;50526;51456;52392;53336;54285;55239;56198;57160;58125;59093
116BSP2450_2;27479;27677;28193;29502;31000;32712;33681;34540;35282;36053;36848;37658;38470;39280;40090;40906;41730;42564;43408;44263;45128;46004;46890;47785;48690;49604;50526;51456;52392;53336;54285;55239;56198;57160;58125;59093
116BSP2450_2;27479;27677;28193;29502;31000;32712;33681;34540;35282;36053;36848;37658;38470;39280;40090;40906;41730;42564;43408;44263;45128;46004;46890;47785;48690;49604;50526;51456;52392;53336;54285;55239;56198;57160;58125;59093
116BSP2450_1;28789;28996;29534;30867;32390;34128;35124;36009;36779;37577;38401;39239;40080;40920;41761;42608;43463;44329;45206;46093;46992;47902;48822;49752;50692;51641;52599;53565;54539;55520;56506;57498;58494;59495;60498;61504
116BSP2470_3;26552;26744;27245;28200;29639;31258;32514;33313;34026;34762;35520;36291;37067;37843;38622;39408;40202;41006;41821;42645;43480;44324;45178;46042;46914;47795;48683;49580;50483;51392;52306;53226;54149;55076;56006;56938
116BSP2470_3;27224;27422;27936;28924;30420;32101;33402;34219;34952;35709;36488;37280;38076;38874;39675;40483;41299;42126;42963;43810;44668;45536;46414;47302;48199;49104;50017;50939;51867;52801;53741;54686;55635;56588;57543;58501
116BSP2470_2;18098;18229;18570;19719;21520;23294;24248;24557;25084;25628;26188;26759;27331;27905;28480;29059;29645;30237;30838;31445;32061;32683;33313;33950;34593;35242;35898;36559;37224;37895;38569;39247;39928;40612;41298;41985
116BSP2470_2;18098;18229;18570;19719;21520;23294;24248;24557;25084;25628;26188;26759;27331;27905;28480;29059;29645;30237;30838;31445;32061;32683;33313;33950;34593;35242;35898;36559;37224;37895;38569;39247;39928;40612;41298;41985
116BSP2470_2;18098;18229;18570;19719;21520;23294;24248;24557;25084;25628;26188;26759;27331;27905;28480;29059;29645;30237;30838;31445;32061;32683;33313;33950;34593;35242;35898;36559;37224;37895;38569;39247;39928;40612;41298;41985
116BSP2470_2;18098;18229;18570;19719;21520;23294;24248;24557;25084;25628;26188;26759;27331;27905;28480;29059;29645;30237;30838;31445;32061;32683;33313;33950;34593;35242;35898;36559;37224;37895;38569;39247;39928;40612;41298;41985
116BSP2470_2;18098;18229;18570;19719;21520;23294;24248;24557;25084;25628;26188;26759;27331;27905;28480;29059;29645;30237;30838;31445;32061;32683;33313;33950;34593;35242;35898;36559;37224;37895;38569;39247;39928;40612;41298;41985
116BSP2470_1;22076;22235;22648;23882;25780;27648;28700;29099;29718;30355;31011;31678;32350;33023;33699;34382;35071;35770;36478;37194;37919;38654;39396;40147;40905;41671;42444;43224;44009;44800;45596;46395;47199;48006;48815;49626
116BSP2490_2;19714;19856;20225;21405;23242;25044;26032;26373;26932;27510;28104;28708;29316;29924;30535;31151;31773;32403;33041;33687;34341;35003;35672;36348;37032;37721;38417;39119;39826;40538;41254;41974;42697;43423;44151;44880
116BSP2490_2;35016;35272;35936;37475;39706;41877;43248;43952;44889;45852;46840;47844;48856;49873;50898;51933;52980;54040;55113;56200;57301;58414;59540;60677;61827;62987;64157;65337;66526;67723;68926;70136;71351;72570;73793;75019
116BSP2490_2;33365;33609;34242;35731;36518;37103;36903;37457;38258;39081;39924;40781;41646;42515;43390;44275;45169;46075;46992;47921;48861;49812;50773;51745;52726;53717;54717;55724;56739;57761;58788;59821;60858;61899;62942;63988
116BSP2490_1;77667;78240;79727;82993;85757;88438;89450;91145;93089;95073;97097;99155;101237;103343;105473;107629;109814;112027;114269;116539;118836;121161;123511;125886;128285;130706;133148;135610;138090;140586;143096;145619;148152;150694;153243;155797
116BSP2490_1;77667;78240;79727;82993;85757;88438;89450;91145;93089;95073;97097;99155;101237;103343;105473;107629;109814;112027;114269;116539;118836;121161;123511;125886;128285;130706;133148;135610;138090;140586;143096;145619;148152;150694;153243;155797
116BSP2490_1;77667;78240;79727;82993;85757;88438;89450;91145;93089;95073;97097;99155;101237;103343;105473;107629;109814;112027;114269;116539;118836;121161;123511;125886;128285;130706;133148;135610;138090;140586;143096;145619;148152;150694;153243;155797
116BSP2490_1;77667;78240;79727;82993;85757;88438;89450;91145;93089;95073;97097;99155;101237;103343;105473;107629;109814;112027;114269;116539;118836;121161;123511;125886;128285;130706;133148;135610;138090;140586;143096;145619;148152;150694;153243;155797
116BSP2510m;72157;72729;73286;73826;74349;74853;75337;75803;76248;76674;77078;77461;77824;78165;78485;78782;79059;79314;79547;79759;79948;80117;80264;80390;80496;80581;80645;80690;80714;80719;80704;80669;80615;80615;80615;80615
116BSP2510;25761;25949;26438;28551;30141;31628;31425;31884;32571;33277;34003;34741;35484;36229;36978;37734;38499;39273;40056;40849;41652;42464;43285;44114;44952;45798;46652;47512;48378;49251;50128;51010;51895;52783;53674;54567
116BSP2520_2m;76953;77562;78156;78733;79290;79827;80344;80841;81316;81769;82200;82609;82996;83360;83700;84018;84313;84585;84834;85059;85262;85441;85598;85733;85845;85936;86005;86052;86078;86083;86067;86030;85972;85972;85972;85972
116BSP2520_2;25760;25948;26437;28452;30012;31503;31382;31854;32537;33238;33957;34688;35425;36167;36914;37668;38431;39204;39987;40779;41581;42392;43212;44041;44879;45724;46576;47436;48302;49173;50049;50930;51814;52702;53592;54484
116BSP2520_1;29795;30013;30581;32689;34342;35928;35903;36473;37256;38060;38882;39717;40561;41410;42267;43132;44008;44895;45794;46703;47624;48555;49496;50448;51409;52379;53357;54344;55337;56337;57343;58354;59368;60387;61408;62431
116BSP2520_1m;268533;270661;272733;274744;276690;278565;280369;282100;283759;285341;286846;288273;289621;290891;292080;293189;294218;295166;296034;296822;297529;298155;298703;299172;299564;299881;300121;300287;300378;300395;300340;300211;300008;300008;300008;300008
116BSP2520_1;29795;30013;30581;32689;34342;35928;35903;36473;37256;38060;38882;39717;40561;41410;42267;43132;44008;44895;45794;46703;47624;48555;49496;50448;51409;52379;53357;54344;55337;56337;57343;58354;59368;60387;61408;62431
116BSP2530m;326225;328810;331327;333771;336135;338413;340604;342708;344722;346644;348473;350206;351844;353387;354832;356178;357428;358580;359635;360592;361450;362212;362877;363447;363924;364308;364600;364801;364912;364933;364865;364709;364463;364463;364463;364463
